Time,Table disp,Act dis,Acc RF, Acc 2F,Acc 1F,Delta P,Voltage command,Dis command
0.017089844,-0.00087769364,-13.747449,-1.2633308956765843,-1.3615649164318366,-0.7325986486012496,0.078667603,0.024674922,0.0
0.021972656,-0.00073235814,-13.747261,-7.8143468750500285,-8.496758955145673,-3.9643365581318513,0.077261604,0.024667311,0.0
0.026855469,-0.00064678682,-13.748096,-21.387346802070837,-22.722772564070368,-9.10722784894786,0.07589072,0.024663275,0.0
0.031738281,-0.00069025159,-13.747994,-35.43532761188231,-34.331223581887485,-11.466037414072748,0.078159936,0.024656413,0.0
0.036621094,-0.00056257372,-13.748665,-43.15601065829795,-33.84007440075575,-8.295241141342322,0.075378023,0.024654761,0.0
0.041503906,-0.0013870469,-13.747224,-47.08228848244246,-27.346917811129522,-3.9569844079847423,0.07327015,0.024752654,5.7853964e-07
0.046386719,-0.0010148794,-13.747377,-52.90851356403136,-26.09171602163533,-4.791536684701437,0.074804835,0.02470311,1.4641859e-06
0.051269531,-0.00083830365,-13.748794,-60.29286899485252,-30.92060333328343,-8.81402757616739,0.074569382,0.024681,-1.834644e-06
0.056152344,-0.0010501946,-13.748321,-63.61144752632176,-36.73144499475306,-8.24021762034263,0.079416335,0.024680005,-6.1799155e-06
0.061035156,-0.00036290722,-13.74886,-60.75814219926825,-40.172313842832644,-4.7772716272625795,0.081370473,0.024605727,-5.3679291e-06
0.065917969,-0.00050416787,-13.747299,-57.044046287363926,-40.18813175610883,-6.444393258478362,0.085291103,0.024610503,2.8038035e-06
0.070800781,-0.00039958066,-13.747151,-55.41531884527415,-39.21959217630973,-9.908279080156813,0.089553565,0.024588464,1.6967415e-05
0.075683594,-0.00073235814,-13.748124,-53.337327734361324,-40.98065659887621,-7.5766181340009275,0.0916605,0.024635257,4.2596832e-05
0.080566406,-0.00056121545,-13.747155,-52.623288146243745,-44.293792852348915,-3.6091020965321503,0.092581414,0.024639988,8.5552703e-05
0.085449219,-0.00096869806,-13.747044,-56.294692993288706,-45.65346809540938,-3.7477441277923638,0.089949042,0.024734518,0.00016097061
0.090332031,-0.00085188641,-13.748354,-58.46621595096262,-44.90417149174795,-5.174445149374405,0.090559848,0.024747385,0.00024592708
0.095214844,-0.00078940572,-13.749284,-52.957920246924594,-42.69664156953137,-5.494925673035365,0.087152302,0.02476166,0.00031928092
