Time,Table disp,Act dis,Acc RF, Acc 2F,Acc 1F,Delta P,Voltage command,Dis command
0.019042969,0.0010401914,-13.717472,1.1324678563485076,-0.4006834538725925,-0.024280083826141635,-0.15786943,0.014619079,0.0
0.023925781,0.00096956105,-13.718207,6.151002305794351,-2.3584789804678206,-0.5235591157644252,-0.16119885,0.014635448,-2.2154888e-06
0.028808594,0.00085003278,-13.718006,13.597557929257428,-6.158443676684644,-2.260390411810141,-0.15845501,0.014628271,-7.7523309e-06
0.033691406,0.00056479493,-13.717325,16.019610189942696,-9.489173861546105,-3.6652277369486916,-0.15452279,0.014635952,-1.4169221e-05
0.038574219,0.0015726354,-13.717799,13.076527981589326,-9.690044366679517,-1.705555615716293,-0.15385237,0.014534245,-1.7390421e-05
0.043457031,0.0010401914,-13.718583,13.217540425643715,-6.922953849858256,0.6813467342526849,-0.15449965,0.014603267,-1.2869853e-05
0.048339844,0.001157003,-13.717959,17.253672356079047,-3.825216960776031,-1.4037451603115803,-0.15795147,0.014604755,-3.8020871e-06
0.053222656,0.0007984183,-13.718766,19.842666622910915,-3.6152863477965127,-3.0783860614935534,-0.15473978,0.01461106,-1.6299807e-06
0.058105469,0.0011053886,-13.718551,20.29517550971546,-6.619613951657813,0.3307041345306358,-0.15279588,0.014558583,-1.2658696e-05
0.062988281,0.00099944312,-13.720142,18.65971384365602,-7.6275212406077335,1.6511882166889325,-0.1496971,0.014560324,-2.7875407e-05
0.067871094,0.00044934152,-13.720218,15.736116264467402,-4.475566344648772,-2.157302762100491,-0.14736807,0.014623672,-3.1781739e-05
0.072753906,0.0012873975,-13.718441,15.246419298349869,-5.491033239817263,-2.8624574473437123,-0.14010017,0.014518308,-1.7662118e-05
0.077636719,0.0010646404,-13.719611,16.74648009469483,-14.492208540650122,0.18326759916647758,-0.13953353,0.014559521,1.0532731e-05
0.082519531,0.0014137171,-13.719335,17.026226497172917,-20.216699839979345,-0.1774728039211554,-0.14399108,0.014553226,4.6600879e-05
0.087402344,0.00081879244,-13.719388,16.926915350412052,-15.030937502179416,-1.9651296889252403,-0.13878898,0.014603141,8.7303844e-05
0.092285156,0.0013403703,-13.719077,16.322974668955744,-6.955367628369852,-0.9180972803802019,-0.14041138,0.014573641,0.00013356541
0.097167969,0.00074680382,-13.719371,12.054601144629384,-4.707364065243537,-0.6192419292257032,-0.14004403,0.014658709,0.00019044649
0.10205078,0.0011828103,-13.719677,7.725265404130038,-7.29851934707509,-2.5257052231113652,-0.14279467,0.014641534,0.00025410738
0.10693359,0.0012398579,-13.71921,10.438199403566294,-10.024776221499456,-3.5190426844016685,-0.13935873,0.014644536,0.00033569132
0.11181641,0.0012819644,-13.718657,17.637745143622443,-10.16987795935594,-3.2183092823025023,-0.13980904,0.014655699,0.00041473645
0.11669922,0.00098586036,-13.719596,21.865859040822926,-9.01177642928352,-2.7436948558870418,-0.14830531,0.014733096,0.00048469106
0.12158203,0.00086225726,-13.717849,21.13425205723288,-8.929404935764271,-2.8717883917488534,-0.14659935,0.014739468,0.00054627511
0.12646484,0.0010592073,-13.718911,17.649090119651092,-7.660682663607035,-4.3432721356840105,-0.14493847,0.014709366,0.0005987389
0.13134766,0.00098721858,-13.718541,14.820484136559234,-3.737703189315096,-4.8864773809816295,-0.14582108,0.014717971,0.0006414103
0.13623047,0.0015033633,-13.719145,15.273372359592788,-2.354349601367998,-3.132293968538364,-0.14174359,0.014639693,0.00067543198
0.14111328,0.00069654768,-13.719288,19.185510613974635,-6.798436182842249,-2.6078330320225547,-0.14409226,0.014735832,0.0007025571
0.14599609,0.0013553113,-13.720078,26.001228646988753,-13.936342191524389,-3.0150527902437925,-0.13855232,0.014634299,0.00072101434
0.15087891,0.00040587669,-13.719523,33.12898411739249,-20.000767184768733,-1.5667796326237704,-0.13626133,0.014723144,0.0007320164
0.15576172,0.0011746606,-13.718997,35.13921158699733,-22.105518865194504,-1.881438461065137,-0.13154878,0.014624694,0.00074256555
0.16064453,0.00092473795,-13.719646,31.517737971231128,-19.210176588754774,-3.2518122805269227,-0.13155721,0.014656189,0.0007512407
0.16552734,0.00095054519,-13.718451,27.346218580479317,-15.344829670691874,0.6101258370440019,-0.13766144,0.014668144,0.00074120419
0.17041016,0.00073729589,-13.71967,24.874562741605214,-15.20004308238564,3.7695013867296385,-0.13677137,0.014651892,0.00070015382
0.17529297,0.00071828003,-13.718539,24.593815825429246,-18.121936824632673,-1.2618834772401997,-0.13690245,0.014635799,0.00063851406
0.18017578,0.00048465669,-13.718613,27.080930596252475,-20.28035391373161,-6.296457617346297,-0.13704163,0.01466164,0.00057687215
0.18505859,0.00097635237,-13.718546,28.12648918446386,-19.241500550484666,-5.683134885795935,-0.13945642,0.014627631,0.00052454777
0.18994141,0.00071556348,-13.718984,23.168796474067747,-15.673144261997468,-4.585039307769092,-0.13860302,0.014656006,0.00048049682
0.19482422,0.0010374748,-13.717718,16.498121229681747,-12.752656148040337,-3.0831888436361092,-0.13933159,0.014632167,0.00044576408
0.19970703,0.00068024837,-13.718883,16.36336807506126,-13.012885252350472,0.003109728082516361,-0.14377624,0.014700624,0.00042217068
0.20458984,0.0010700735,-13.71624,22.439172777830688,-14.733516649498672,0.685555327253133,-0.14475304,0.014659944,0.00040186153
0.20947266,0.00061097631,-13.717178,26.87303044786701,-14.439611641732407,1.4404452024929189,-0.14628217,0.014687652,0.00036816194
0.21435547,0.00093696243,-13.719009,26.756484760128213,-12.226945785451308,5.705492693631373,-0.14662634,0.014617898,0.0003083724
0.21923828,0.0010306834,-13.718101,26.19702755848761,-10.2989153519997,6.371316085211395,-0.14763321,0.014578879,0.00022291925
0.22412109,0.00078211899,-13.718182,27.205531218568016,-9.728070625186756,2.223367134419185,-0.14772852,0.014587169,0.00012366175
0.22900391,0.00049959769,-13.717278,26.95411545066396,-10.499026888024241,2.511331366605508,-0.1454066,0.01459191,2.6531749e-05
0.23388672,0.00098314381,-13.71733,23.950006840155048,-11.832619028173063,5.682941355280269,-0.14716461,0.014563118,-5.4989774e-05
0.23876953,0.00078211899,-13.717734,21.400523949934637,-13.559197182684095,3.2606415201788974,-0.14475596,0.014587732,-0.00011401686
0.24365234,0.0012846809,-13.718587,21.30602444500704,-15.986871238981013,-2.058474283773936,-0.14933865,0.014566148,-0.00015289492
0.24853516,0.0015658439,-13.718561,20.13460868755075,-17.949126929758297,-3.2664852633639767,-0.14775924,0.014523777,-0.00018096162
0.25341797,0.0010279668,-13.718874,16.79149756687934,-19.02372688473109,0.03534856266167427,-0.1455846,0.014569293,-0.00020447301
0.25830078,0.0013322206,-13.716318,17.465317381771257,-21.581302646077706,4.186578158975301,-0.1465791,0.014554895,-0.00021920585
0.26318359,0.00095190346,-13.716452,24.84405095854804,-26.119759560874563,4.825671761168701,-0.14642908,0.014607834,-0.00021790774
0.26806641,0.00086633209,-13.718086,31.31070722929404,-28.251139304743795,1.5170242898189494,-0.15141292,0.014647747,-0.00020151179
0.27294922,0.00047243221,-13.718905,29.649910089519672,-24.38688842810274,-0.5381941809643265,-0.15366967,0.014703165,-0.0001764137
0.27783203,0.00064629148,-13.717918,24.1634276715666,-17.995244343007105,0.2711068487170273,-0.15455538,0.014688879,-0.00014641011
0.28271484,0.0010673569,-13.717688,23.892167279361672,-16.354705552275696,-0.05115036167245096,-0.15631613,0.014648258,-0.00011498061
0.28759766,0.00060825975,-13.71832,28.024088723157803,-20.747679848171437,-2.355148329402422,-0.15535365,0.01468196,-8.871207e-05
0.29248047,0.0011067468,-13.718363,30.695298159927038,-25.19402928225011,-3.3529005256562723,-0.15933222,0.014635006,-7.0764996e-05
0.29736328,0.00099536823,-13.719518,33.29511078468035,-26.02809013854696,-0.5469841708344432,-0.15912561,0.014636313,-5.7792138e-05
0.30224609,0.00069383113,-13.717999,35.450217519237675,-25.861561103289198,3.9927180332321313,-0.16507012,0.014684821,-4.9844883e-05
0.30712891,0.00080385141,-13.717842,31.628559744534876,-27.009487582856398,3.967173362720455,-0.16625293,0.014657082,-5.5645887e-05
0.31201172,0.0010850144,-13.718091,26.791375972748284,-27.816203750159215,-1.9108516602195058,-0.16850369,0.014614093,-7.7935954e-05
0.31689453,0.00062320079,-13.717859,30.545670855002523,-27.44286809159341,-5.154073763963096,-0.16562459,0.014617853,-0.00011804535
0.32177734,0.00070605555,-13.718476,37.056688229057016,-26.926517784029024,-0.2849990084682153,-0.16534613,0.014587283,-0.00016310169
0.32666016,0.00078211899,-13.71794,34.52555700629317,-24.543885791552132,5.809547147733848,-0.16422382,0.014557979,-0.00020948984
0.33154297,0.00094103726,-13.717951,26.986133407284616,-18.48642062356449,5.4812559922310395,-0.16257492,0.014524776,-0.0002525087
0.33642578,0.00090300554,-13.7185,24.909782461782488,-12.074053934274513,0.7731104894042187,-0.16158035,0.01452469,-0.00028241595
0.34130859,0.0016568484,-13.718835,26.358260576021664,-10.377350170050855,-2.5546042100655386,-0.15560164,0.014426291,-0.00029623549
0.34619141,0.0012194837,-13.71697,28.103691059413464,-15.015140010245148,-1.6167183559444003,-0.15845717,0.014488208,-0.00030413453
0.35107422,0.00084595795,-13.718715,34.35721663526252,-22.248187020640188,2.7739710125024812,-0.1586795,0.014512705,-0.00031917318
0.35595703,0.00092066312,-13.717853,40.93420839346254,-25.04680471398916,6.15552466545016,-0.15449959,0.014466873,-0.00034505074
0.36083984,0.00071013038,-13.718052,39.38329822479913,-21.11029922807088,6.212858012307533,-0.15442769,0.014477491,-0.00037846385
0.36572266,0.0010768648,-13.718932,34.96714037580294,-15.861793410461667,6.043121524568193,-0.15410052,0.0144279,-0.00041668018
0.37060547,0.0012846809,-13.716321,33.859312759745336,-15.298921206937024,6.375558195499315,-0.1612547,0.014433051,-0.00045663773
0.37548828,0.00088127312,-13.718039,31.892989855605638,-19.909878963152657,5.506139270103918,-0.16426212,0.014485933,-0.00049119099
0.38037109,0.0017424198,-13.718136,30.188369201373042,-23.681380955927064,5.284682138054933,-0.16446772,0.014403947,-0.00051211723
0.38525391,0.00071556348,-13.717279,32.74787029864913,-20.416473613684033,5.746356713055777,-0.16099457,0.014505058,-0.00051573885
0.39013672,0.00061369286,-13.716398,33.596776535866596,-14.16192836222937,3.331446083900721,-0.16158281,0.014530661,-0.00050401222
0.39501953,0.00077804417,-13.717433,32.135482590397565,-14.178348548940692,-0.6188034888470544,-0.1668411,0.014547384,-0.00048151624
0.39990234,0.00090572209,-13.718645,37.63006330352163,-19.178906705635463,-1.506089006335436,-0.16656114,0.014530735,-0.00045255132
0.40478516,0.0010130259,-13.718292,44.83273563577554,-19.00986835656121,-0.38855443038103843,-0.16971226,0.014536026,-0.00042068004
0.40966797,0.00093152933,-13.716624,40.23979170363264,-10.057343552550275,-0.9866457694373788,-0.16804048,0.014531392,-0.00038892424
0.41455078,0.0010075928,-13.717785,30.845883362022732,-1.8792525813322578,-3.1005880505261274,-0.16755004,0.014517538,-0.00035757068
0.41943359,0.00085003278,-13.717017,30.400006790147263,-5.156550449066911,-4.148430233691949,-0.16803665,0.014544732,-0.00032081956
0.42431641,0.00087176519,-13.718734,34.36732060152772,-13.648805028832832,-0.7409378256247569,-0.16726978,0.014556872,-0.00026846697
0.42919922,0.0010198172,-13.719341,34.526678628155,-13.094428880164434,7.2016763777534365,-0.17055081,0.014584543,-0.00019389574
0.43408203,0.0010388331,-13.717045,33.412867238322825,-5.649156031127285,11.150319867741375,-0.16740018,0.014589474,-9.8633944e-05
0.43896484,0.0013023386,-13.718008,34.04567150543997,-4.470217577311165,5.852542569110594,-0.16914245,0.014598924,1.1611462e-05
0.44384766,0.001048341,-13.717859,35.83540405396656,-11.76572498122462,0.9258072173944252,-0.1620281,0.0146036,0.0001308202
0.44873047,0.0010401914,-13.718254,40.1636790829075,-18.680370792934518,4.466949918984076,-0.15814593,0.014596439,0.00025381977
0.45361328,0.00067481527,-13.718366,46.5075195302913,-19.0377248559278,9.79250833844298,-0.15708743,0.01464758,0.00038159694
0.45849609,0.0011773772,-13.716819,47.96021085267013,-16.036830956783724,9.206508991881497,-0.15819953,0.01466301,0.00052304438
0.46337891,0.00080928451,-13.7174,43.00987632732084,-16.99465848550403,3.6497156650745364,-0.16303203,0.014744602,0.00068098173
0.46826172,0.0012561572,-13.717066,40.97433515788193,-21.476104163502853,-2.0132240436512037,-0.16117384,0.014681338,0.0008397557
0.47314453,0.0007875521,-13.718038,43.49825531551902,-22.246393716054943,-3.298271174115497,-0.16435443,0.014731321,0.00097961514
0.47802734,0.00092337967,-13.71792,41.42030282471408,-18.722078568513847,-0.7025697246635842,-0.1647217,0.0147189,0.0011018022
0.48291016,0.0012194837,-13.717933,35.797640777612074,-16.816901624816097,1.5123679140251498,-0.16431738,0.014710999,0.0012270304
0.48779297,0.0014531071,-13.717955,34.86359056953461,-18.241995648628503,3.6173318903927028,-0.16861074,0.014735897,0.0013700074
0.49267578,0.00090436381,-13.718774,36.05656073303604,-20.131269840655825,6.835393299032187,-0.16592513,0.01480024,0.0015269411
0.49755859,0.0012303499,-13.717995,34.480505932371926,-20.648040992381034,6.182776119095741,-0.16430326,0.014742023,0.0016872202
0.50244141,0.0012928306,-13.718587,33.90518006341851,-19.375616609804407,0.9965311225498701,-0.16801269,0.014775865,0.0018457983
0.50732422,0.0005661532,-13.7193,36.410068552960354,-16.98970888913469,-0.6157763978532775,-0.16865958,0.014878119,0.0020021542
0.51220703,0.00078211899,-13.719051,38.18365966667137,-16.73001486306232,3.1385423361679554,-0.1661007,0.01486135,0.0021548346
