Time,Table disp,Act dis,Acc RF, Acc 2F,Acc 1F,Delta P,Voltage command,Dis command
0.020019531,0.00015459573,-13.754457,-2.2714249037614187,-0.9038723198943335,0.3597263876054818,-0.084895715,0.01329762,0.0
0.024902344,0.00024016709,-13.752899,-12.978911101366833,-5.67709672406221,1.9276499394376363,-0.077767059,0.013256383,0.0
0.029785156,0.00029993121,-13.752563,-31.08731251075508,-14.665024086496034,4.076508398719327,-0.079903528,0.013266327,0.0
0.034667969,3.6425768e-05,-13.752742,-40.356432034744365,-20.046574163180402,4.250464932581932,-0.078318641,0.013289426,0.0
0.039550781,0.00011928057,-13.752794,-32.2526550346446,-16.33486227574816,3.1529477483762047,-0.073024005,0.013263284,0.0
0.044433594,-3.5562829e-05,-13.754603,-23.126655151338056,-11.407224336055283,5.004513742764805,-0.066958703,0.013257205,0.0
0.049316406,3.8271583e-06,-13.75248,-27.99814962770187,-13.1385773760455,8.473568789366068,-0.061460298,0.01323876,0.0
0.054199219,0.00013286332,-13.753085,-38.33488411287727,-16.687616247110547,8.3101473527118,-0.066588737,0.01326318,0.0
0.059082031,0.00066666561,-13.752751,-39.38592848092355,-14.2857490286447,6.868759936593799,-0.069532521,0.013232282,0.0
0.063964844,9.8906443e-05,-13.752275,-31.752662178425688,-6.20580882879462,9.175939558842302,-0.068704545,0.013296375,7.1895573e-07
0.068847656,-8.4460749e-05,-13.752666,-27.14778829412022,1.5345744022462382,12.11500784288502,-0.069622129,0.013331505,3.2874063e-06
0.073730469,0.00052540493,-13.753002,-28.6581947014518,4.732186531035091,11.704145340341995,-0.06823571,0.013273793,9.6634758e-06
0.078613281,-0.00035204101,-13.752692,-27.349094749269,3.4877568123593568,10.771506841027723,-0.068758674,0.013382751,2.1377708e-05
0.083496094,0.00035426224,-13.754337,-22.123976481106453,0.29732691528459254,11.348732745859635,-0.060678702,0.013286042,3.8636448e-05
0.088378906,0.00015595401,-13.751769,-22.89989334962478,-2.2112869130034425,11.041324037739829,-0.057398811,0.013310239,6.0849939e-05
0.093261719,0.00034747086,-13.752789,-30.54838627850503,-3.89183444376331,10.366047883887326,-0.057051867,0.013309385,8.7658118e-05
0.098144531,0.00016682022,-13.752919,-36.24006108565379,-4.700582081217721,11.254551360766563,-0.063518718,0.013377833,0.00011909964
0.10302734,7.8532306e-05,-13.753656,-37.54337435628314,-3.166788110740445,10.784458485300783,-0.068911843,0.013430192,0.0001551582
0.10791016,0.00060825975,-13.752787,-38.746764604740335,-2.693901061953276,7.803980038701015,-0.071758255,0.013402762,0.00019561376
0.11279297,0.00038821911,-13.752559,-42.44580974377621,-8.182761230606078,6.4122820354452115,-0.072498128,0.013442809,0.00024025874
0.11767578,0.00012063885,-13.752876,-47.95632297655746,-14.925095113569714,7.73043288860162,-0.071715288,0.013479088,0.00028899589
0.12255859,3.8271583e-06,-13.75148,-52.07236022898617,-15.740463760538942,9.182635977921052,-0.070562162,0.01349957,0.00034173348
0.12744141,-0.00019040624,-13.753445,-51.291494131192444,-14.904557860856249,9.489219661233525,-0.069919534,0.013533249,0.00039832437
0.13232422,-3.5562829e-05,-13.754445,-47.780370599783595,-19.986802331989367,8.734713626644066,-0.068870246,0.013526633,0.00045861665
0.13720703,0.00038957738,-13.75325,-48.31641524755894,-26.421802162172263,8.954142526707543,-0.064766258,0.013477745,0.00052249088
0.14208984,0.00026597432,-13.751603,-53.44122556971144,-24.541272025825087,11.479293884783415,-0.059249364,0.013489115,0.00058983546
0.14697266,0.00018719435,-13.753341,-57.06879441095011,-15.929957355178047,12.763315490807251,-0.057674818,0.013508228,0.00066052435
0.15185547,0.00064085837,-13.752779,-57.29109447577966,-10.4684569552788,11.241376002232812,-0.054230507,0.013462605,0.00073442911
0.15673828,0.00030264776,-13.753377,-56.012410839792075,-11.924325679023852,10.262560888939719,-0.052445408,0.013508822,0.00081143156
0.16162109,7.9019846e-06,-13.753179,-52.80391044031804,-15.930837602438759,10.897070300532583,-0.053261254,0.013582367,0.00089141855
0.16650391,-7.6311095e-05,-13.753412,-47.84094078178865,-17.843589682690094,11.887247307122571,-0.049783885,0.013589852,0.00097427401
0.17138672,2.5559566e-05,-13.752337,-43.71403102243835,-15.276555144424929,11.54833015051462,-0.051955577,0.013608189,0.0010598818
0.17626953,-0.00026646967,-13.75308,-41.66358727619926,-9.407964480280887,8.649950802397385,-0.04988829,0.013647929,0.0011481299
0.18115234,-0.00040908859,-13.751456,-40.36487170633316,-7.1765625598419005,7.406150241371014,-0.045142181,0.013655064,0.0012389093
0.18603516,-0.00015916589,-13.752503,-36.54943847616249,-11.508224244136384,11.967683400735417,-0.043241609,0.013644314,0.0013321115
0.19091797,-0.00017682348,-13.755289,-27.77927506776739,-13.305269772043307,15.48651294517124,-0.043110266,0.013668365,0.001427629
0.19580078,0.00027140742,-13.753738,-18.292227329436603,-6.1948043111046065,11.00579590192168,-0.043999221,0.013648842,0.0015253568
0.20068359,0.00010298127,-13.753345,-17.789944679755713,1.467743228174258,6.077818580538327,-0.041968916,0.013679651,0.0016251914
0.20556641,0.00045341635,-13.75196,-27.238909187180333,1.351569667362312,8.394765003061746,-0.041408863,0.013645849,0.0017270314
0.21044922,0.00068703975,-13.754749,-33.07885398347078,-1.2222092965465103,11.45349166924889,-0.040153015,0.013642609,0.0018307766
0.21533203,-0.00033845825,-13.752839,-27.519740336829432,1.4389023154041543,8.8456675386049,-0.03552188,0.013758115,0.0019363284
